name,my_rating,imdb_rating,tmdb_rating,tmdb_count,metacritic_rating,budget,revenue,runtime,award_count,imdb_count,imdb_arithmetic_mean,imdb_median,imdb_top_1000_rating,imdb_top_1000_count,imdb_us_rating,imdb_us_count,imdb_not_us_rating,imdb_not_us_count,imdb_rating_percentile,tmdb_rating_percentile,metacritic_rating_percentile,is_action,is_comedy,is_adventure,is_animation,is_family,is_drama,is_scifi,is_thriller,is_rated_g,is_rated_pg,is_rated_pg13,is_rated_r,is_rated_nr,is_brad_pitt,is_stan_lee,is_christopher_nolan,is_spielberg,is_harrison_ford,is_matt_damon,is_wes_anderson,is_tom_cruise,is_john_williams,is_rdj,is_quentin_tarantino,is_tom_hanks,is_george_lucas,is_leonardo_dicaprio,is_the_rock,is_stanley_kubrick,is_john_hughes,is_jim_carrey,is_wally_pfister,is_henry_fonda,is_morgan_freeman,is_bong_joon_ho,is_dustin_hoffman,is_arnold_schwarz,is_jack_nicholson,is_aamir_khan,is_sean_connery,is_brad_bird,is_natalie_portman,is_robin_williams,is_sandra_bullock,is_bill_murray
Soul,64,8,8.2,7906,83,150000000,136384442,101,3,306929,8.1,8,7.5,430,8,28009,7.9,94079,77.81569965870307,92.32081911262799,83.44709897610922,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avengers,75,8,7.7,26744,69,220000000,1518815515,143,1,1349831,8.1,8,7.6,851,8.3,170553,7.9,486524,77.81569965870307,73.89078498293516,56.8259385665529,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Graduate,91,8,7.7,2591,83,3000000,104945305,106,8,268736,8,8,7.7,730,8.2,68402,7.9,111654,77.81569965870307,73.89078498293516,83.44709897610922,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Incredibles,84,8,7.7,15074,90,92000000,631442092,115,4,706458,8,8,7.8,817,8.3,123410,7.9,283554,77.81569965870307,73.89078498293516,94.02730375426621,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Internet's Own Boy: The Story of Aaron Swartz,49,8,7.9,354,72,0,48911,105,0,17525,8.2,8,6.9,122,8,1766,8,9702,77.81569965870307,83.10580204778157,62.79863481228669,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Maltese Falcon,38,8,7.8,1242,97,375000,1772000,100,3,156427,8,8,8.1,653,8.3,41982,7.8,60797,77.81569965870307,78.839590443686,99.1467576791809,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Martian,86,8,7.7,16899,80,108000000,630161890,141,7,825236,8,8,7.9,804,8.1,83334,7.9,310178,77.81569965870307,73.89078498293516,77.81569965870307,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nightmare Before Christmas,68,8,7.8,7447,82,24000000,75634409,76,1,325870,8.1,8,7.5,744,8,68040,7.9,129425,77.81569965870307,78.839590443686,81.56996587030717,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Princess Bride,72,8,7.7,3694,77,16000000,30861665,99,1,420013,8.2,8,7.6,774,8.5,132798,7.6,122194,77.81569965870307,73.89078498293516,73.72013651877133,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pursuit of Happyness,62,8,7.9,8175,64,55000000,307077295,117,1,493941,8.1,8,7.1,662,7.7,61878,7.9,220554,77.81569965870307,83.10580204778157,42.491467576791806,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Days of Future Past,66,8,7.5,13299,75,250000000,747862775,132,1,696102,8,8,7.6,765,8,80693,7.8,264099,77.81569965870307,66.04095563139931,68.9419795221843,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zootopia,66,8,7.7,13850,78,150000000,1023784195,109,1,479659,8.1,8,7.7,670,8,51484,7.9,169858,77.81569965870307,73.89078498293516,75.93856655290102,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Years a Slave,76,8.1,7.9,9623,96,20000000,187000000,134,9,684042,8.1,8,7.7,725,8.3,67756,8,278293,81.91126279863481,83.10580204778157,97.95221843003414,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade Runner,52,8.1,7.9,11353,84,28000000,41722424,118,2,746499,8.1,8,8.2,859,8.2,123626,8.1,310106,81.91126279863481,83.10580204778157,85.66552901023891,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
